reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,t,3.595629599993117,None,0,0,0,3,0.18265970004722476,,0.17941910005174577,0.18265970004722476,1.0020643000025302,1.0020643000025302,1.1853375000646338,4.653837300022133,t,3.595629599993117,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
78,80,162,1,1,0,t,0.7796904999995604,None,0,1,1,6,4.663398200063966,,4.66030050010886,4.663398200063966,5.668379500042647,5.668379500042647,5.668379500042647,6.451843100017868,t,0.7796904999995604,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
49,60,89,2,2,0,t,2.023904800065793,None,0,2,2,4,6.468122300109826,,6.457261800067499,6.468122300109826,7.45203050004784,7.45203050004784,7.468969100038521,9.48662060010247,t,2.023904800065793,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
67,75,119,3,3,0,t,2.18363780004438,None,0,3,3,5,9.501957200001925,,9.492060600081459,9.501957200001925,10.501467800000682,10.501467800000682,10.501467800000682,12.686593500082381,t,2.18363780004438,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
15,35,13,4,4,0,l,0.46868809999432415,None,0,4,4,1,12.701179700088687,,12.697547700023279,12.701179700088687,13.70194140006788,13.70194140006788,13.70194140006788,14.186363400076516,l,0.46868809999432415,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
27,50,21,5,5,0,l,0.5135565999662504,None,0,5,5,2,14.201270900084637,,14.19346310000401,14.201270900084637,15.201173100038432,15.201173100038432,15.201173100038432,15.718637600075454,l,0.5135565999662504,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
11,30,7,6,6,0,l,0.3523241999791935,None,0,6,6,0,15.73514270002488,,15.724106000037864,15.73514270002488,16.71869330003392,16.71869330003392,16.73498850001488,17.085263700108044,l,0.3523241999791935,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
67,75,119,7,0,1,t,0.6530821999767795,None,1,0,7,5,17.10108950000722,,17.089888800051995,17.10108950000722,18.084812400047667,18.084812400047667,18.10137070005294,18.752787200035527,t,0.6530821999767795,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
49,60,89,8,1,1,t,0.5270615000044927,None,1,1,8,4,18.768010500003584,,18.759325699997135,18.768010500003584,19.76822000008542,19.76822000008542,19.76822000008542,20.302618900081143,t,0.5270615000044927,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
27,50,21,9,2,1,l,0.6328333999263123,None,1,2,9,2,20.3183704999974,,20.30740690010134,20.3183704999974,21.318418100010604,21.318418100010604,21.318418100010604,21.969153900048696,l,0.6328333999263123,None,2,001,2025-10-27_16h17.55.312,delay_discounting,,2025.1.1,59.838531716486685,2025-10-27 16h18.01.082852 +0530,
