thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.01026610005646944,0.013728799996897578,0.013728799996897578,1.074134400114417,space,1.0322672999463975,None,,,,,,,,,,,,,,,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
0,0,0,[np.float64(-0.43833333333333335)],[np.float64(-0.3308333333333333)],[1],[0],[0],[1.2719173999503255],['target'],0,0,0,0,1.0952219001483172,,,,,,,,,5,1.0865736999548972,1.0952219001483172,1.0952219001483172,0.01244560000486672,2.348798300139606,[np.float64(-0.43833333333333335)],[np.float64(-0.3308333333333333)],[1],[0],[0],[1.2719173999503255],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
1,0,1,[np.float64(0.2841666666666667)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.1471257000230253],['target'],1,0,1,0,2.365493700141087,,,,,,,,,5,2.3596830000169575,2.365493700141087,2.365493700141087,0.010764299891889095,3.4963648000266403,[np.float64(0.2841666666666667)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.1471257000230253],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
2,0,2,[np.float64(-0.19416666666666665)],[np.float64(0.25)],[1],[0],[0],[2.2663535000756383],['target'],2,0,2,0,3.5136301000602543,,,,,,,,,5,3.50676740007475,3.5136301000602543,3.5136301000602543,0.01027039997279644,5.763216700172052,[np.float64(-0.19416666666666665)],[np.float64(0.25)],[1],[0],[0],[2.2663535000756383],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
3,0,3,[np.float64(0.395)],[np.float64(0.019166666666666665)],[1],[0],[0],[1.4817956001497805],['target'],3,0,3,0,5.783081700094044,,,,,,,,,5,5.77625700016506,5.783081700094044,5.783081700094044,0.012955500045791268,7.2454756000079215,[np.float64(0.395)],[np.float64(0.019166666666666665)],[1],[0],[0],[1.4817956001497805],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
4,0,4,[np.float64(0.049166666666666664)],[np.float64(0.030833333333333334)],[1],[0],[0],[1.2499142000451684],['target'],4,0,4,0,7.263350400142372,,,,,,,,,5,7.256559600122273,7.263350400142372,7.263350400142372,0.010971300071105361,8.49586970009841,[np.float64(0.049166666666666664)],[np.float64(0.030833333333333334)],[1],[0],[0],[1.2499142000451684],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
5,0,5,[np.float64(-0.0725)],[np.float64(-0.415)],[1],[0],[0],[1.065578700043261],['target'],5,0,5,0,8.514261099975556,,,,,,,,,5,8.507293700007722,8.514261099975556,8.514261099975556,0.011299800127744675,9.561954200034961,[np.float64(-0.0725)],[np.float64(-0.415)],[1],[0],[0],[1.065578700043261],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
6,0,6,[np.float64(0.30666666666666664)],[np.float64(0.009166666666666667)],[1],[0],[0],[0.9827588999178261],['target'],6,0,6,0,9.580453500151634,,,,,,,,,5,9.573585100006312,9.580453500151634,9.580453500151634,0.011541999876499176,10.545136500149965,[np.float64(0.30666666666666664)],[np.float64(0.009166666666666667)],[1],[0],[0],[0.9827588999178261],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
7,0,7,[np.float64(0.3475)],[np.float64(-0.25)],[1],[0],[0],[1.3159940000623465],['target'],7,0,7,0,10.63619580003433,,,,,,,,,10,10.625485300086439,10.63619580003433,10.63619580003433,0.0802012998610735,11.861694500083104,[np.float64(0.3475)],[np.float64(-0.25)],[1],[0],[0],[1.3159940000623465],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
8,0,8,[np.float64(-0.47583333333333333)],[np.float64(-0.145)],[1],[0],[0],[1.6496713999658823],['target'],8,0,8,0,11.880412300117314,,,,,,,,,5,11.873817099956796,11.880412300117314,11.880412300117314,0.012004000134766102,13.511781699955463,[np.float64(-0.47583333333333333)],[np.float64(-0.145)],[1],[0],[0],[1.6496713999658823],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
9,0,9,[np.float64(-0.375)],[np.float64(0.23416666666666666)],[1],[0],[0],[1.4155882000923157],['target'],9,0,9,0,13.540474000154063,,,,,,,,,10,13.532197100110352,13.540474000154063,13.540474000154063,0.02032650006003678,14.927763800136745,[np.float64(-0.375)],[np.float64(0.23416666666666666)],[1],[0],[0],[1.4155882000923157],['target'],,,,,3,001,2025-10-02_18h59.24.622,visual search,,2025.1.1,59.95261345642845,2025-10-02 18h59.30.204727 +0530,
