pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,28.84198770020157,None,0,0,0,0,,,,,0.012859500013291836,,0.010092899901792407,0.012859500013291836,1.001379600027576,1.001379600027576,1.001379600027576,1.001379600027576,1.0179703999310732,2.000531799858436,2.000531799858436,30.85896739992313,x,1,28.84198770020157,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
150,v,1,1,0,v,1,1.1529858000576496,None,0,1,1,1,,,,,30.866391999879852,,30.859408699907362,30.866391999879852,31.866730199893937,31.866730199893937,31.866730199893937,31.866730199893937,31.866730199893937,32.86671069986187,32.86671069986187,34.03440200001933,v,1,1.1529858000576496,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
50,c,2,2,0,c,1,1.009479499887675,None,0,2,2,2,,,,,34.04988329997286,,34.0349542000331,34.04988329997286,35.04941109986976,35.04941109986976,35.04941109986976,35.04941109986976,35.04941109986976,36.04947389988229,36.04947389988229,37.067100499989465,c,1,1.009479499887675,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
-150,z,3,3,0,z,1,0.5151060000061989,None,0,3,3,3,,,,,37.08289449987933,,37.067567999940366,37.08289449987933,38.08308060001582,38.08308060001582,38.08308060001582,38.08308060001582,38.08308060001582,39.06629389990121,39.06629389990121,39.58320629992522,z,1,0.5151060000061989,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
-50,x,4,0,1,x,1,0.3318793000653386,None,1,0,4,0,,,,,39.59891860000789,,39.5837373000104,39.59891860000789,40.58301840000786,40.58301840000786,40.58301840000786,40.58301840000786,40.599771899869666,41.58295889990404,41.58295889990404,41.91672359989025,x,1,0.3318793000653386,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
150,v,5,1,1,v,1,0.5430458998307586,None,1,1,5,1,,,,,41.933026699814945,,41.91721839993261,41.933026699814945,42.932778500020504,42.932778500020504,42.932778500020504,42.932778500020504,42.932778500020504,43.915936699835584,43.915936699835584,44.46620229980908,v,1,0.5430458998307586,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
50,c,6,2,1,c,1,0.31265460001304746,None,1,2,6,2,,,,,44.48279539984651,,44.46672249981202,44.48279539984651,45.466074199881405,45.466074199881405,45.466074199881405,45.466074199881405,45.48284989991225,46.46571269980632,46.46571269980632,46.78299289988354,c,1,0.31265460001304746,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
-150,z,7,3,1,z,1,0.5892003998160362,None,1,3,7,3,,,,,46.798636900028214,,46.78351799980737,46.798636900028214,47.782499599969015,47.782499599969015,47.782499599969015,47.782499599969015,47.79927850002423,48.78256399999373,48.78256399999373,49.38395149982534,z,1,0.5892003998160362,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
-50,x,8,0,2,x,1,0.2882675000000745,None,2,0,8,0,,,,,49.39892439986579,,49.38504069996998,49.39892439986579,50.39848259999417,50.39848259999417,50.39848259999417,50.39848259999417,50.39848259999417,51.39848019997589,51.39848019997589,51.700791699811816,x,1,0.2882675000000745,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
150,v,9,1,2,v,1,0.3327243998646736,None,2,1,9,1,,,,,51.71560400002636,,51.70168109983206,51.71560400002636,52.715873499866575,52.715873499866575,52.715873499866575,52.715873499866575,52.715873499866575,53.715662099886686,53.715662099886686,54.066687299869955,v,1,0.3327243998646736,None,,,,,5,001,2025-10-05_15h28.12.377,sequence_learning,,2025.1.1,60.07153316692436,2025-10-05 15h28.47.397828 +0530,
