thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9,0,9,[np.float64(0.20166666666666666)],[np.float64(0.465)],[1],[0],[0],[1.582482900004834],['target'],9,0,9,0,15.939358500065282,,,,,,,,,10,15.928467200137675,15.939358500065282,15.939358500065282,0.03448419994674623,17.477079400094226,[np.float64(0.20166666666666666)],[np.float64(0.465)],[1],[0],[0],[1.582482900004834],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
10,0,10,[np.float64(0.15333333333333332)],[np.float64(-0.12666666666666668)],[1],[0],[0],[1.3997148000635207],['target'],10,0,10,0,17.498973400099203,,,,,,,,,5,17.492504599969834,17.498973400099203,17.498973400099203,0.015193100087344646,18.877545400056988,[np.float64(0.15333333333333332)],[np.float64(-0.12666666666666668)],[1],[0],[0],[1.3997148000635207],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
11,0,11,"[np.float64(0.405), np.float64(0.4141666666666667)]","[np.float64(-0.42583333333333334), np.float64(-0.42583333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.748015800025314, 2.6985098998993635]","[None, 'target']",11,0,11,0,18.91749779996462,,,,,,,,,10,18.905509600182995,18.91749779996462,18.91749779996462,0.027768299914896488,21.576760299969465,"[np.float64(0.405), np.float64(0.4141666666666667)]","[np.float64(-0.42583333333333334), np.float64(-0.42583333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.748015800025314, 2.6985098998993635]","[None, 'target']",,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
12,0,12,[np.float64(-0.18083333333333335)],[np.float64(-0.0575)],[1],[0],[0],[1.434222999960184],['target'],12,0,12,0,21.597298700129613,,,,,,,,,5,21.589709599968046,21.597298700129613,21.597298700129613,0.012772399932146072,23.011550100054592,[np.float64(-0.18083333333333335)],[np.float64(-0.0575)],[1],[0],[0],[1.434222999960184],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
13,0,13,[np.float64(-0.19083333333333333)],[np.float64(0.2175)],[1],[0],[0],[1.3648229001555592],['target'],13,0,13,0,23.052516700001433,,,,,,,,,10,23.04027850017883,23.052516700001433,23.052516700001433,0.02861699997447431,24.376886500045657,[np.float64(-0.19083333333333333)],[np.float64(0.2175)],[1],[0],[0],[1.3648229001555592],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
14,0,14,[np.float64(-0.08416666666666667)],[np.float64(-0.2816666666666667)],[1],[0],[0],[1.5662179000210017],['target'],14,0,14,0,24.411015199963003,,,,,,,,,10,24.40111460001208,24.411015199963003,24.411015199963003,0.024084800155833364,25.943661800120026,[np.float64(-0.08416666666666667)],[np.float64(-0.2816666666666667)],[1],[0],[0],[1.5662179000210017],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
15,0,15,[np.float64(0.035)],[np.float64(-0.22083333333333333)],[1],[0],[0],[1.0002643999177963],['target'],15,0,15,0,25.972738299984485,,,,,,,,,5,25.963240700075403,25.972738299984485,25.972738299984485,0.019360499922186136,26.944761600112543,[np.float64(0.035)],[np.float64(-0.22083333333333333)],[1],[0],[0],[1.0002643999177963],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
16,0,16,[np.float64(-0.0008333333333333334)],[np.float64(0.3233333333333333)],[1],[0],[0],[1.3643964000511914],['target'],16,0,16,0,26.96549510001205,,,,,,,,,5,26.957405500113964,26.96549510001205,26.96549510001205,0.0124292999971658,28.30991580011323,[np.float64(-0.0008333333333333334)],[np.float64(0.3233333333333333)],[1],[0],[0],[1.3643964000511914],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
17,0,17,[np.float64(0.004166666666666667)],[np.float64(-0.09)],[1],[0],[0],[1.532448000041768],['target'],17,0,17,0,28.333811900112778,,,,,,,,,5,28.32559849997051,28.333811900112778,28.333811900112778,0.015495300060138106,29.843064400134608,[np.float64(0.004166666666666667)],[np.float64(-0.09)],[1],[0],[0],[1.532448000041768],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
18,0,18,[np.float64(-0.26416666666666666)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.36622600001283],['target'],18,0,18,0,29.865437400061637,,,,,,,,,5,29.857427100185305,29.865437400061637,29.865437400061637,0.01417719991877675,31.209985800087452,[np.float64(-0.26416666666666666)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.36622600001283],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
19,0,19,[np.float64(-0.5133333333333333)],[np.float64(-0.13)],[1],[0],[0],[1.7318673999980092],['target'],19,0,19,0,31.237909600138664,,,,,,,,,5,31.2288357000798,31.237909600138664,31.237909600138664,0.018698700005188584,32.94264780008234,[np.float64(-0.5133333333333333)],[np.float64(-0.13)],[1],[0],[0],[1.7318673999980092],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
20,0,20,[np.float64(0.08666666666666667)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.4329717999789864],['target'],20,0,20,0,32.9679040000774,,,,,,,,,5,32.95908860000782,32.9679040000774,32.9679040000774,0.016311699990183115,34.37615999998525,[np.float64(0.08666666666666667)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.4329717999789864],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
21,0,21,[np.float64(-0.505)],[np.float64(-0.15833333333333333)],[1],[0],[0],[1.9157885999884456],['target'],21,0,21,0,34.402509400155395,,,,,,,,,5,34.393733700038865,34.402509400155395,34.402509400155395,0.01738059986382723,36.29265270009637,[np.float64(-0.505)],[np.float64(-0.15833333333333333)],[1],[0],[0],[1.9157885999884456],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
22,0,22,[np.float64(-0.39916666666666667)],[np.float64(0.0125)],[1],[0],[0],[1.6675021999981254],['target'],22,0,22,0,36.31747110001743,,,,,,,,,5,36.30917420005426,36.31747110001743,36.31747110001743,0.016323099844157696,37.96087860013358,[np.float64(-0.39916666666666667)],[np.float64(0.0125)],[1],[0],[0],[1.6675021999981254],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
23,0,23,[np.float64(-0.2625)],[np.float64(-0.1125)],[1],[0],[0],[0.964234400074929],['target'],23,0,23,0,37.999700400047004,,,,,,,,,10,37.98937850003131,37.999700400047004,37.999700400047004,0.028306799940764904,38.9258576000575,[np.float64(-0.2625)],[np.float64(-0.1125)],[1],[0],[0],[0.964234400074929],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
24,0,24,[np.float64(-0.3466666666666667)],[np.float64(0.0425)],[1],[0],[0],[0.9508825000375509],['target'],24,0,24,0,38.96211710013449,,,,,,,,,10,38.95208310009912,38.96211710013449,38.96211710013449,0.02598130004480481,39.87757520005107,[np.float64(-0.3466666666666667)],[np.float64(0.0425)],[1],[0],[0],[0.9508825000375509],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
25,0,25,[np.float64(-0.2675)],[np.float64(-0.15)],[1],[0],[0],[1.49815750005655],['target'],25,0,25,0,39.91658090008423,,,,,,,,,10,39.9066032001283,39.91658090008423,39.91658090008423,0.028680700110271573,41.37682190001942,[np.float64(-0.2675)],[np.float64(-0.15)],[1],[0],[0],[1.49815750005655],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
26,0,26,[np.float64(0.18666666666666668)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.3503997998777777],['target'],26,0,26,0,41.40582159999758,,,,,,,,,5,41.39725679997355,41.40582159999758,41.40582159999758,0.020137100014835596,42.72831350006163,[np.float64(0.18666666666666668)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.3503997998777777],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
27,0,27,[np.float64(0.38)],[np.float64(0.09333333333333334)],[1],[0],[0],[2.0982504000421613],['target'],27,0,27,0,42.766426500165835,,,,,,,,,10,42.756452000001445,42.766426500165835,42.766426500165835,0.027890999801456928,44.82743710000068,[np.float64(0.38)],[np.float64(0.09333333333333334)],[1],[0],[0],[2.0982504000421613],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
28,0,28,[np.float64(-0.245)],[np.float64(-0.275)],[1],[0],[0],[1.3320711001288146],['target'],28,0,28,0,44.8513804001268,,,,,,,,,5,44.84390400000848,44.8513804001268,44.8513804001268,0.016160900006070733,46.16037800000049,[np.float64(-0.245)],[np.float64(-0.275)],[1],[0],[0],[1.3320711001288146],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
29,0,29,[np.float64(-0.45416666666666666)],[np.float64(0.1075)],[1],[0],[0],[1.7977837000507861],['target'],29,0,29,0,46.1975790001452,,,,,,,,,10,46.187146299984306,46.1975790001452,46.1975790001452,0.026596999960020185,47.958828400122,[np.float64(-0.45416666666666666)],[np.float64(0.1075)],[1],[0],[0],[1.7977837000507861],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
30,0,30,[np.float64(0.45666666666666667)],[np.float64(0.4608333333333333)],[1],[0],[0],[2.967364199925214],['target'],30,0,30,0,47.99973989999853,,,,,,,,,10,47.98946589999832,47.99973989999853,47.99973989999853,0.03042909991927445,50.926931200083345,[np.float64(0.45666666666666667)],[np.float64(0.4608333333333333)],[1],[0],[0],[2.967364199925214],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
31,0,31,[np.float64(-0.16916666666666666)],[np.float64(-0.1375)],[1],[0],[0],[1.4001899000722915],['target'],31,0,31,0,50.96384840016253,,,,,,,,,10,50.953565899981186,50.96384840016253,50.96384840016253,0.026402599876746535,52.327951500192285,[np.float64(-0.16916666666666666)],[np.float64(-0.1375)],[1],[0],[0],[1.4001899000722915],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
32,0,32,[np.float64(0.41083333333333333)],[np.float64(-0.185)],[1],[0],[0],[1.6477441999595612],['target'],32,0,32,0,52.35173500003293,,,,,,,,,5,52.34447250002995,52.35173500003293,52.35173500003293,0.016224300023168325,53.97664110013284,[np.float64(0.41083333333333333)],[np.float64(-0.185)],[1],[0],[0],[1.6477441999595612],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
33,0,33,[np.float64(-0.3275)],[np.float64(-0.015833333333333335)],[1],[0],[0],[1.8655987998936325],['target'],33,0,33,0,53.998794900020584,,,,,,,,,5,53.99171470012516,53.998794900020584,53.998794900020584,0.014828599989414215,55.84309840016067,[np.float64(-0.3275)],[np.float64(-0.015833333333333335)],[1],[0],[0],[1.8655987998936325],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
34,0,34,"[np.float64(0.20583333333333334), np.float64(0.22)]","[np.float64(-0.08083333333333333), np.float64(-0.09083333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.3646386999171227, 2.2648924998939037]","[None, 'target']",34,0,34,0,55.88063989998773,,,,,,,,,10,55.869802800007164,55.88063989998773,55.88063989998773,0.026493600104004145,58.10886420006864,"[np.float64(0.20583333333333334), np.float64(0.22)]","[np.float64(-0.08083333333333333), np.float64(-0.09083333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.3646386999171227, 2.2648924998939037]","[None, 'target']",,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
35,0,35,[np.float64(0.10416666666666667)],[np.float64(0.14916666666666667)],[1],[0],[0],[1.6667553998995572],['target'],35,0,35,0,58.1460130000487,,,,,,,,,10,58.13526330003515,58.1460130000487,58.1460130000487,0.026136100059375167,59.77644670009613,[np.float64(0.10416666666666667)],[np.float64(0.14916666666666667)],[1],[0],[0],[1.6667553998995572],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
36,0,36,"[np.float64(0.25916666666666666), np.float64(0.2658333333333333)]","[np.float64(-0.06833333333333333), np.float64(-0.07083333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.5675940001383424, 2.5671175001189113]","[None, 'target']",36,0,36,0,59.79894500016235,,,,,,,,,5,59.79225550009869,59.79894500016235,59.79894500016235,0.015459300018846989,62.34468200011179,"[np.float64(0.25916666666666666), np.float64(0.2658333333333333)]","[np.float64(-0.06833333333333333), np.float64(-0.07083333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.5675940001383424, 2.5671175001189113]","[None, 'target']",,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
37,0,37,[np.float64(0.1175)],[np.float64(-0.2841666666666667)],[1],[0],[0],[1.3803922000806779],['target'],37,0,37,0,62.370718100108206,,,,,,,,,5,62.363363299984485,62.370718100108206,62.370718100108206,0.018307399936020374,63.72612490016036,[np.float64(0.1175)],[np.float64(-0.2841666666666667)],[1],[0],[0],[1.3803922000806779],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
38,0,38,[np.float64(0.1925)],[np.float64(0.2816666666666667)],[1],[0],[0],[2.316158799920231],['target'],38,0,38,0,63.76701890002005,,,,,,,,,10,63.75509060011245,63.76701890002005,63.76701890002005,0.028775000013411045,66.04304870008491,[np.float64(0.1925)],[np.float64(0.2816666666666667)],[1],[0],[0],[2.316158799920231],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
39,0,39,[np.float64(-0.27166666666666667)],[np.float64(0.24833333333333332)],[1],[0],[0],[1.1990429998841137],['target'],39,0,39,0,66.07049910002388,,,,,,,,,5,66.06282930006273,66.07049910002388,66.07049910002388,0.01937400014139712,67.2432699999772,[np.float64(-0.27166666666666667)],[np.float64(0.24833333333333332)],[1],[0],[0],[1.1990429998841137],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
40,0,40,[np.float64(0.30083333333333334)],[np.float64(0.2425)],[1],[0],[0],[1.4663182001095265],['target'],40,0,40,0,67.28136590006761,,,,,,,,,10,67.27115659997799,67.28136590006761,67.28136590006761,0.027691999915987253,68.7103369999677,[np.float64(0.30083333333333334)],[np.float64(0.2425)],[1],[0],[0],[1.4663182001095265],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
41,0,41,"[np.float64(0.014166666666666666), np.float64(0.0125)]","[np.float64(0.0375), np.float64(0.0275)]","[1, 1]","[0, 0]","[0, 0]","[2.3135595000348985, 3.246334300143644]","[None, 'target']",41,0,41,0,68.73424450005405,,,,,,,,,5,68.72625810001045,68.73424450005405,68.73424450005405,0.015617300057783723,71.95760750002228,"[np.float64(0.014166666666666666), np.float64(0.0125)]","[np.float64(0.0375), np.float64(0.0275)]","[1, 1]","[0, 0]","[0, 0]","[2.3135595000348985, 3.246334300143644]","[None, 'target']",,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
42,0,42,[np.float64(0.021666666666666667)],[np.float64(-0.29333333333333333)],[1],[0],[0],[1.8841747001279145],['target'],42,0,42,0,71.98148020007648,,,,,,,,,5,71.97399410000071,71.98148020007648,71.98148020007648,0.016103799920529127,73.8426396001596,[np.float64(0.021666666666666667)],[np.float64(-0.29333333333333333)],[1],[0],[0],[1.8841747001279145],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
43,0,43,[np.float64(-0.19833333333333333)],[np.float64(0.18416666666666667)],[1],[0],[0],[1.531001399969682],['target'],43,0,43,0,73.88211910007522,,,,,,,,,10,73.86888330010697,73.88211910007522,73.88211910007522,0.026022600010037422,75.37442790018395,[np.float64(-0.19833333333333333)],[np.float64(0.18416666666666667)],[1],[0],[0],[1.531001399969682],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
44,0,44,[np.float64(0.008333333333333333)],[np.float64(0.09916666666666667)],[1],[0],[0],[1.250949600012973],['target'],44,0,44,0,75.39727620012127,,,,,,,,,5,75.39025519997813,75.39727620012127,75.39727620012127,0.015518499771133065,76.62629809998907,[np.float64(0.008333333333333333)],[np.float64(0.09916666666666667)],[1],[0],[0],[1.250949600012973],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
45,0,45,[np.float64(-0.10416666666666667)],[np.float64(0.2633333333333333)],[1],[0],[0],[1.6812511999160051],['target'],45,0,45,0,76.66365270013921,,,,,,,,,10,76.65344400005415,76.66365270013921,76.66365270013921,0.026899400167167187,78.3084833000321,[np.float64(-0.10416666666666667)],[np.float64(0.2633333333333333)],[1],[0],[0],[1.6812511999160051],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
46,0,46,[np.float64(-0.22166666666666668)],[np.float64(0.375)],[1],[0],[0],[1.2833072999492288],['target'],46,0,46,0,78.3334473001305,,,,,,,,,5,78.32558050006628,78.3334473001305,78.3334473001305,0.016764799831435084,79.59276420017704,[np.float64(-0.22166666666666668)],[np.float64(0.375)],[1],[0],[0],[1.2833072999492288],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
47,0,47,[np.float64(-0.4125)],[np.float64(0.37083333333333335)],[1],[0],[0],[1.182471599895507],['target'],47,0,47,0,79.61865309998393,,,,,,,,,5,79.60866719996557,79.61865309998393,79.61865309998393,0.015707199927419424,80.77610760019161,[np.float64(-0.4125)],[np.float64(0.37083333333333335)],[1],[0],[0],[1.182471599895507],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
48,0,48,[np.float64(-0.0075)],[np.float64(-0.47583333333333333)],[1],[0],[0],[2.6836383999325335],['target'],48,0,48,0,80.80009010015056,,,,,,,,,5,80.79290830017999,80.80009010015056,80.80009010015056,0.016524699982255697,83.46074200002477,[np.float64(-0.0075)],[np.float64(-0.47583333333333333)],[1],[0],[0],[2.6836383999325335],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
49,0,49,[np.float64(0.08833333333333333)],[np.float64(-0.465)],[1],[0],[0],[2.112306300085038],['target'],49,0,49,0,83.48553379997611,,,,,,,,,5,83.47874200018123,83.48553379997611,83.48553379997611,0.01770820003002882,85.57403380004689,[np.float64(0.08833333333333333)],[np.float64(-0.465)],[1],[0],[0],[2.112306300085038],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
50,0,50,[np.float64(-0.3983333333333333)],[np.float64(-0.18083333333333335)],[1],[0],[0],[1.4168707998469472],['target'],50,0,50,0,85.59814350004308,,,,,,,,,5,85.59065950009972,85.59814350004308,85.59814350004308,0.016376200132071972,86.99173430004157,[np.float64(-0.3983333333333333)],[np.float64(-0.18083333333333335)],[1],[0],[0],[1.4168707998469472],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
51,0,51,[np.float64(-0.2966666666666667)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.9508040000218898],['target'],51,0,51,0,87.01548960013315,,,,,,,,,5,87.0075132001657,87.01548960013315,87.01548960013315,0.015598600031808019,87.94322170014493,[np.float64(-0.2966666666666667)],[np.float64(-0.21666666666666667)],[1],[0],[0],[0.9508040000218898],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
