thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0035407000686973333,0.007981900125741959,0.007981900125741959,2.308075200067833,space,2.277516199974343,None,,,,,,,,,,,,,,,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
0,0,0,[np.float64(-0.36833333333333335)],[np.float64(0.38166666666666665)],[1],[0],[0],[1.8100412001367658],['target'],0,0,0,0,2.334011900005862,,,,,,,,,5,2.3260957000311464,2.334011900005862,2.334011900005862,0.01802830002270639,4.120292500127107,[np.float64(-0.36833333333333335)],[np.float64(0.38166666666666665)],[1],[0],[0],[1.8100412001367658],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
1,0,1,[np.float64(-0.05)],[np.float64(0.28)],[1],[0],[0],[0.9991044998168945],['target'],1,0,1,0,4.146929300157353,,,,,,,,,5,4.137921000132337,4.146929300157353,4.146929300157353,0.01740749995224178,5.120155400130898,[np.float64(-0.05)],[np.float64(0.28)],[1],[0],[0],[0.9991044998168945],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
2,0,2,[np.float64(-0.15416666666666667)],[np.float64(-0.15666666666666668)],[1],[0],[0],[1.1487127000000328],['target'],2,0,2,0,5.148236300097778,,,,,,,,,5,5.139293699990958,5.148236300097778,5.148236300097778,0.018935099942609668,6.269618700025603,[np.float64(-0.15416666666666667)],[np.float64(-0.15666666666666668)],[1],[0],[0],[1.1487127000000328],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
3,0,3,[np.float64(0.17083333333333334)],[np.float64(0.2758333333333333)],[1],[0],[0],[1.3650676000397652],['target'],3,0,3,0,6.297532099997625,,,,,,,,,5,6.287890100153163,6.297532099997625,6.297532099997625,0.01790690002962947,7.635555100161582,[np.float64(0.17083333333333334)],[np.float64(0.2758333333333333)],[1],[0],[0],[1.3650676000397652],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
4,0,4,[np.float64(0.11583333333333333)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.2838508998975158],['target'],4,0,4,0,7.659385800128803,,,,,,,,,5,7.651843799976632,7.659385800128803,7.659385800128803,0.01616119989193976,8.919927100185305,[np.float64(0.11583333333333333)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.2838508998975158],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
5,0,5,[np.float64(0.12916666666666668)],[np.float64(-0.11416666666666667)],[1],[0],[0],[1.298634999897331],['target'],5,0,5,0,8.94531140010804,,,,,,,,,5,8.936783000128344,8.94531140010804,8.94531140010804,0.01668290002271533,10.219256500015035,[np.float64(0.12916666666666668)],[np.float64(-0.11416666666666667)],[1],[0],[0],[1.298634999897331],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
6,0,6,[np.float64(-0.0625)],[np.float64(-0.44583333333333336)],[1],[0],[0],[1.5826330001000315],['target'],6,0,6,0,10.239813599968329,,,,,,,,,5,10.232017199974507,10.239813599968329,10.239813599968329,0.012566300109028816,11.802630900172517,[np.float64(-0.0625)],[np.float64(-0.44583333333333336)],[1],[0],[0],[1.5826330001000315],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
7,0,7,[np.float64(-0.2425)],[np.float64(0.4325)],[1],[0],[0],[2.274342499906197],['target'],7,0,7,0,11.933652800042182,,,,,,,,,10,11.920866300119087,11.933652800042182,11.933652800042182,0.11804970004595816,14.077689800178632,[np.float64(-0.2425)],[np.float64(0.4325)],[1],[0],[0],[2.274342499906197],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
8,0,8,[np.float64(0.2625)],[np.float64(0.43833333333333335)],[1],[0],[0],[1.8153136998880655],['target'],8,0,8,0,14.118688900023699,,,,,,,,,10,14.105933699989691,14.118688900023699,14.118688900023699,0.02800359996035695,15.893765500048175,[np.float64(0.2625)],[np.float64(0.43833333333333335)],[1],[0],[0],[1.8153136998880655],['target'],,,,,1,001,2025-10-01_16h50.15.457,visual search,,2025.1.1,59.90215581285546,2025-10-01 16h50.21.326278 +0530,
