pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.9950727000832558,None,0,0,0,0,,,,,0.01120389997959137,,0.007762999972328544,0.01120389997959137,1.0094258999451995,1.0094258999451995,1.0094258999451995,1.0094258999451995,1.02589839999564,2.0100660000462085,2.0100660000462085,3.0525173998903483,x,1,0.9950727000832558,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
150,v,1,1,0,v,1,0.8090224999468774,None,0,1,1,1,,,,,3.055619099875912,,3.052727499976754,3.055619099875912,4.059345300076529,4.059345300076529,4.059345300076529,4.059345300076529,4.059345300076529,5.059329699957743,5.059329699957743,5.876659299945459,v,1,0.8090224999468774,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
50,c,2,2,0,c,1,0.5511990000959486,None,0,2,2,2,,,,,5.892786599928513,,5.876971599878743,5.892786599928513,6.8758032999467105,6.8758032999467105,6.8758032999467105,6.8758032999467105,6.892663799924776,7.892709600040689,7.892709600040689,8.459827200043947,c,1,0.5511990000959486,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
-150,z,3,3,0,z,1,0.3558473999146372,None,0,3,3,3,,,,,8.47637000004761,,8.46019949996844,8.47637000004761,9.459087600000203,9.459087600000203,9.459087600000203,9.459087600000203,9.47557849995792,10.475875000003725,10.475875000003725,10.843077800003812,z,1,0.3558473999146372,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
-50,x,4,0,1,x,1,0.31179700000211596,None,1,0,4,0,,,,,10.8595926000271,,10.843657899880782,10.8595926000271,11.841941799968481,11.841941799968481,11.841941799968481,11.841941799968481,11.858931599883363,12.842243599938229,12.842243599938229,13.15891440003179,x,1,0.31179700000211596,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
150,v,5,1,1,v,1,0.24678699998185039,None,1,1,5,1,,,,,13.175390899879858,,13.159169099992141,13.175390899879858,14.158923799870536,14.158923799870536,14.158923799870536,14.158923799870536,14.175761899910867,15.158783300081268,15.158783300081268,15.409054199932143,v,1,0.24678699998185039,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
50,c,6,2,1,c,1,0.27769569982774556,None,1,2,6,2,,,,,15.425336099928245,,15.409405200043693,15.425336099928245,16.40880939993076,16.40880939993076,16.40880939993076,16.40880939993076,16.426138599868864,17.408671400044113,17.408671400044113,17.692432099953294,c,1,0.27769569982774556,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
-150,z,7,3,1,z,1,0.3220091999974102,None,1,3,7,3,,,,,17.709421399980783,,17.69282629992813,17.709421399980783,18.691752600017935,18.691752600017935,18.691752600017935,18.691752600017935,18.724963099928573,19.691865399945527,19.691865399945527,20.025711300084367,z,1,0.3220091999974102,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
-50,x,8,0,2,x,1,0.6331323999911547,None,2,0,8,0,,,,,20.041784199886024,,20.02612609998323,20.041784199886024,21.02504360000603,21.02504360000603,21.02504360000603,21.02504360000603,21.041822700062767,22.0248591999989,22.0248591999989,22.67580550001003,x,1,0.6331323999911547,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
150,v,9,1,2,v,1,0.29122799984179437,None,2,1,9,1,,,,,22.69183859997429,,22.67630079993978,22.69183859997429,23.67490019998513,23.67490019998513,23.67490019998513,23.67490019998513,23.691617399919778,24.67490900005214,24.67490900005214,24.97517649992369,v,1,0.29122799984179437,None,,,,,1,001,2025-10-05_12h22.30.412,sequence_learning,,2025.1.1,59.91830732972228,2025-10-05 12h22.37.431000 +0530,
