thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002532999962568283,0.005905299913138151,0.005905299913138151,0.5538286999799311,space,0.531762600177899,None,,,,,,,,,,,,,,,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
0,0,0,[np.float64(-0.13666666666666666)],[np.float64(-0.14666666666666667)],[1],[0],[0],[1.4915680000558496],['target'],0,0,0,0,0.5781916999258101,,,,,,,,,5,0.5704059998970479,0.5781916999258101,0.5781916999258101,0.016557799885049462,2.0474499999545515,[np.float64(-0.13666666666666666)],[np.float64(-0.14666666666666667)],[1],[0],[0],[1.4915680000558496],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
1,0,1,[np.float64(0.11916666666666667)],[np.float64(-0.10083333333333333)],[1],[0],[0],[2.0298816999420524],['target'],1,0,1,0,2.070845799986273,,,,,,,,,5,2.0646524000912905,2.070845799986273,2.070845799986273,0.017020999919623137,4.078059799969196,[np.float64(0.11916666666666667)],[np.float64(-0.10083333333333333)],[1],[0],[0],[2.0298816999420524],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
2,0,2,[np.float64(-0.1625)],[np.float64(-0.44583333333333336)],[1],[0],[0],[1.6693569000344723],['target'],2,0,2,0,4.107592799933627,,,,,,,,,10,4.0991533999331295,4.107592799933627,4.107592799933627,0.020931399893015623,5.748099199961871,[np.float64(-0.1625)],[np.float64(-0.44583333333333336)],[1],[0],[0],[1.6693569000344723],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
3,0,3,[np.float64(-0.11416666666666667)],[np.float64(0.4483333333333333)],[1],[0],[0],[3.495074799982831],['target'],3,0,3,0,5.78126830002293,,,,,,,,,10,5.772384600015357,5.78126830002293,5.78126830002293,0.024001299869269133,9.244011400034651,[np.float64(-0.11416666666666667)],[np.float64(0.4483333333333333)],[1],[0],[0],[3.495074799982831],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
4,0,4,[np.float64(-0.095)],[np.float64(0.04083333333333333)],[1],[0],[0],[1.7879099000710994],['target'],4,0,4,0,9.31955759995617,,,,,,,,,10,9.311484300065786,9.31955759995617,9.31955759995617,0.067312799859792,11.032509800046682,[np.float64(-0.095)],[np.float64(0.04083333333333333)],[1],[0],[0],[1.7879099000710994],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
5,0,5,[np.float64(0.05416666666666667)],[np.float64(0.13)],[1],[0],[0],[1.7942735000979155],['target'],5,0,5,0,11.063357099890709,,,,,,,,,5,11.054614200023934,11.063357099890709,11.063357099890709,0.02176210004836321,12.827745700022206,[np.float64(0.05416666666666667)],[np.float64(0.13)],[1],[0],[0],[1.7942735000979155],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
6,0,6,[np.float64(0.4633333333333333)],[np.float64(0.0925)],[1],[0],[0],[1.5653125999961048],['target'],6,0,6,0,12.845147399930283,,,,,,,,,5,12.838714400073513,12.845147399930283,12.845147399930283,0.010836999863386154,14.393612599931657,[np.float64(0.4633333333333333)],[np.float64(0.0925)],[1],[0],[0],[1.5653125999961048],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
7,0,7,[np.float64(0.4683333333333333)],[np.float64(-0.06)],[1],[0],[0],[1.7158055999316275],['target'],7,0,7,0,14.42594760004431,,,,,,,,,10,14.41732420003973,14.42594760004431,14.42594760004431,0.023495200090110302,16.110168899875134,[np.float64(0.4683333333333333)],[np.float64(-0.06)],[1],[0],[0],[1.7158055999316275],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
8,0,8,[np.float64(0.20916666666666667)],[np.float64(0.3858333333333333)],[1],[0],[0],[1.6496884999796748],['target'],8,0,8,0,16.13052950007841,,,,,,,,,5,16.124894500011578,16.13052950007841,16.13052950007841,0.014460900099948049,17.760746599873528,[np.float64(0.20916666666666667)],[np.float64(0.3858333333333333)],[1],[0],[0],[1.6496884999796748],['target'],,,,,5,001,2025-10-02_20h09.25.312,visual search,,2025.1.1,60.366752161724555,2025-10-02 20h09.30.056784 +0530,
