pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,3.174309500027448,None,0,0,0,0,,,,,0.010808699997141957,,0.007910599932074547,0.010808699997141957,1.0052537000738084,1.0052537000738084,1.0052537000738084,1.0052537000738084,1.022443599998951,2.00492320000194,2.00492320000194,5.19821529998444,x,1,3.174309500027448,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,1,1,0,v,1,1.349253199994564,None,0,1,1,1,,,,,5.205369200091809,,5.1986169998999685,5.205369200091809,6.20580150000751,6.20580150000751,6.20580150000751,6.20580150000751,6.20580150000751,7.205709799891338,7.205709799891338,8.556892399908975,v,1,1.349253199994564,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,2,2,0,c,1,0.48659730004146695,None,0,2,2,2,,,,,8.57154419994913,,8.557600199943408,8.57154419994913,9.571998700033873,9.571998700033873,9.571998700033873,9.571998700033873,9.571998700033873,10.5716218999587,10.5716218999587,11.072591600008309,c,1,0.48659730004146695,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,3,3,0,z,1,0.3448769999668002,None,0,3,3,3,,,,,11.089150700019673,,11.073106199968606,11.089150700019673,12.072174600092694,12.072174600092694,12.072174600092694,12.072174600092694,12.088828800013289,13.071621699957177,13.071621699957177,13.422688599908724,z,1,0.3448769999668002,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,4,0,1,x,1,0.2613074998371303,None,1,0,4,0,,,,,13.438923199893907,,13.423363900044933,13.438923199893907,14.422021999955177,14.422021999955177,14.422021999955177,14.422021999955177,14.438579000066966,15.438073300058022,15.438073300058022,15.7047546999529,x,1,0.2613074998371303,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,5,1,1,v,1,0.3245123999658972,None,1,1,5,1,,,,,15.721001300029457,,15.70504550007172,15.721001300029457,16.704539000056684,16.704539000056684,16.704539000056684,16.704539000056684,16.72153320000507,17.704271199880168,17.704271199880168,18.03807260002941,v,1,0.3245123999658972,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,6,2,1,c,1,0.3183329999446869,None,1,2,6,2,,,,,18.05453799990937,,18.0383959999308,18.05453799990937,19.037775400094688,19.037775400094688,19.037775400094688,19.037775400094688,19.05422420008108,20.037443100009114,20.037443100009114,20.371413999935612,c,1,0.3183329999446869,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,7,3,1,z,1,0.35838130000047386,None,1,3,7,3,,,,,20.387543800054118,,20.37188640004024,20.387543800054118,21.370651100063697,21.370651100063697,21.370651100063697,21.370651100063697,21.387505100108683,22.37167389993556,22.37167389993556,22.738813699921593,z,1,0.35838130000047386,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,8,0,2,x,1,0.27626450010575354,None,2,0,8,0,,,,,22.7545857001096,,22.739466399885714,22.7545857001096,23.737548799952492,23.737548799952492,23.737548799952492,23.737548799952492,23.754290800075978,24.737965000094846,24.737965000094846,25.021680400008336,x,1,0.27626450010575354,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,9,1,2,v,1,0.35491620004177094,None,2,1,9,1,,,,,25.037684299983084,,25.022136399988085,25.037684299983084,26.02164059993811,26.02164059993811,26.02164059993811,26.02164059993811,26.03810069989413,27.020949200028554,27.020949200028554,27.390151100000367,v,1,0.35491620004177094,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,10,2,2,c,1,0.24862440000288188,None,2,2,10,2,,,,,27.40437599993311,,27.391463000094518,27.40437599993311,28.404862500028685,28.404862500028685,28.404862500028685,28.404862500028685,28.404862500028685,29.404632499907166,29.404632499907166,29.671925599919632,c,1,0.24862440000288188,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,11,3,2,z,1,0.33612520014867187,None,2,3,11,3,,,,,29.68734800000675,,29.672532700002193,29.68734800000675,30.67080230009742,30.67080230009742,30.67080230009742,30.67080230009742,30.68733559991233,31.671148099936545,31.671148099936545,32.022644700016826,z,1,0.33612520014867187,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,12,0,3,x,1,0.3366249999962747,None,3,0,12,0,,,,,32.03747479990125,,32.02351130009629,32.03747479990125,33.037849199958146,33.037849199958146,33.037849199958146,33.037849199958146,33.037849199958146,34.03751130006276,34.03751130006276,34.388860299950466,x,1,0.3366249999962747,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,13,1,3,v,1,0.288306700065732,None,3,1,13,1,,,,,34.403647100087255,,34.389778800075874,34.403647100087255,35.404425099957734,35.404425099957734,35.404425099957734,35.404425099957734,35.404425099957734,36.404125900007784,36.404125900007784,36.70432720007375,v,1,0.288306700065732,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,14,2,3,c,1,0.2833440999966115,None,3,2,14,2,,,,,36.720999900018796,,36.70478040003218,36.720999900018796,37.70367139996961,37.70367139996961,37.70367139996961,37.70367139996961,37.72073809988797,38.7042708999943,38.7042708999943,39.004841699963436,c,1,0.2833440999966115,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,15,3,3,z,1,0.3159941998310387,None,3,3,15,3,,,,,39.020651899976656,,39.00552099989727,39.020651899976656,40.02007810003124,40.02007810003124,40.02007810003124,40.02007810003124,40.02007810003124,41.020814300049096,41.020814300049096,41.35509629989974,z,1,0.3159941998310387,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
