Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Chart,154,4,10,2.0033333333333334,0.44917490001535043,,,,,,,,,,,,10,4,154,6,,,,,70.08743109999341,,70.07335700001568,70.08743109999341,70.08743109999341,70.53781430001254,2.0033333333333334,0.44917490001535043,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,155,5,10,2.29,0.36656680001760833,,,,,,,,,,,,10,5,155,7,,,,,70.55395500001032,,70.53969490001327,70.55395500001032,70.55395500001032,70.92147359999944,2.29,0.36656680001760833,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,156,6,10,1.43,0.39768749999348074,,,,,,,,,,,,10,6,156,2,,,,,70.93716239999048,,70.92464479999035,70.93716239999048,70.93716239999048,71.33846790000098,1.43,0.39768749999348074,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,157,7,10,1.2633333333333334,0.3474156000011135,,,,,,,,,,,,10,7,157,12,,,,,71.3542812000087,,71.34151739999652,71.3542812000087,71.3542812000087,71.70528220001142,1.2633333333333334,0.3474156000011135,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,158,8,10,1.61,0.381680199992843,,,,,,,,,,,,10,8,158,0,,,,,71.72140109998873,,71.70795840001665,71.72140109998873,71.72140109998873,72.10485589999007,1.61,0.381680199992843,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,159,9,10,1,0.4642357999982778,,,,,,,,,,,,10,9,159,13,,,,,72.12046330000157,,72.10923199998797,72.12046330000157,72.12046330000157,72.5889138999919,1,0.4642357999982778,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,160,10,10,1.4533333333333334,0.36498159999609925,,,,,,,,,,,,10,10,160,5,,,,,72.60380830001668,,72.59131610000622,72.60380830001668,72.60380830001668,72.97124839999015,1.4533333333333334,0.36498159999609925,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,161,11,10,1.7666666666666666,0.46507890001521446,,,,,,,,,,,,10,11,161,10,,,,,72.98773769999389,,72.9743332999933,72.98773769999389,72.98773769999389,73.45559990001493,1.7666666666666666,0.46507890001521446,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,162,12,10,1.1866666666666668,0.46113579999655485,,,,,,,,,,,,10,12,162,1,,,,,73.47055629998795,,73.46077229999355,73.47055629998795,73.47055629998795,73.93818009999814,1.1866666666666668,0.46113579999655485,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,163,13,10,1,0.4974133000068832,,,,,,,,,,,,10,13,163,11,,,,,73.95377290001488,,73.94073599998956,73.95377290001488,73.95377290001488,74.4548061999958,1,0.4974133000068832,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,164,14,10,2.126666666666667,0.5161525000003166,,,,,,,,,,,,10,14,164,14,,,,,74.4703678000078,,74.45703140000114,74.4703678000078,74.4703678000078,74.98905989999184,2.126666666666667,0.5161525000003166,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,165,0,11,1.4833333333333334,0.4809497999958694,,,,,,,,,,,,11,0,165,10,,,,,75.0036043,,74.99147870001616,75.0036043,75.0036043,75.48795159999281,1.4833333333333334,0.4809497999958694,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,166,1,11,1.1566666666666667,0.4328052999917418,,,,,,,,,,,,11,1,166,11,,,,,75.50372880001669,,75.49107809999259,75.50372880001669,75.50372880001669,75.9379198999959,1.1566666666666667,0.4328052999917418,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,167,2,11,1.8866666666666667,0.36558440001681447,,,,,,,,,,,,11,2,167,1,,,,,75.95355480001308,,75.94024729999364,75.95355480001308,75.95355480001308,76.32193780000671,1.8866666666666667,0.36558440001681447,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,168,3,11,1.97,0.3982626000070013,,,,,,,,,,,,11,3,168,12,,,,,76.33699239999987,,76.32488530001137,76.33699239999987,76.33699239999987,76.73789210000541,1.97,0.3982626000070013,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,169,4,11,1.5033333333333334,0.4642179000074975,,,,,,,,,,,,11,4,169,8,,,,,76.75362730000052,,76.74075980001362,76.75362730000052,76.75362730000052,77.22133269999176,1.5033333333333334,0.4642179000074975,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,170,5,11,1.22,0.4312777000013739,,,,,,,,,,,,11,5,170,7,,,,,77.23718110000482,,77.22441280001658,77.23718110000482,77.23718110000482,77.6712586999929,1.22,0.4312777000013739,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,171,6,11,1.8466666666666667,0.3817475999821909,,,,,,,,,,,,11,6,171,14,,,,,77.6867815000005,,77.67366400000174,77.6867815000005,77.6867815000005,78.07165070000337,1.8466666666666667,0.3817475999821909,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,172,7,11,2.11,0.38330210000276566,,,,,,,,,,,,11,7,172,0,,,,,78.08681660000002,,78.07355749999988,78.08681660000002,78.08681660000002,78.47133599998779,2.11,0.38330210000276566,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,173,8,11,1.3833333333333333,0.4159231999947224,,,,,,,,,,,,11,8,173,3,,,,,78.48682879999978,,78.47346350000589,78.48682879999978,78.48682879999978,78.90484229999129,1.3833333333333333,0.4159231999947224,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,174,9,11,1.2633333333333334,0.4141589000064414,,,,,,,,,,,,11,9,174,9,,,,,78.92078829999082,,78.9077593999973,78.92078829999082,78.92078829999082,79.33769960000063,1.2633333333333334,0.4141589000064414,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,175,10,11,2.1466666666666665,0.3805339999962598,,,,,,,,,,,,11,10,175,4,,,,,79.353543300007,,79.34072390000802,79.353543300007,79.353543300007,79.73852149999584,2.1466666666666665,0.3805339999962598,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,176,11,11,1.3533333333333333,0.4644263000227511,,,,,,,,,,,,11,11,176,5,,,,,79.7545409000013,,79.74109699999099,79.7545409000013,79.7545409000013,80.22074459999567,1.3533333333333333,0.4644263000227511,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,177,12,11,1.1866666666666668,0.3998855999961961,,,,,,,,,,,,11,12,177,6,,,,,80.23673269999563,,80.2230952999962,80.23673269999563,80.23673269999563,80.637790400011,1.1866666666666668,0.3998855999961961,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,178,13,11,2.17,0.5313491999986582,,,,,,,,,,,,11,13,178,13,,,,,80.65428280000924,,80.64058969999314,80.65428280000924,80.65428280000924,81.1874422999972,2.17,0.5313491999986582,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,179,14,11,1.6566666666666667,0.43249510001624003,,,,,,,,,,,,11,14,179,2,,,,,81.20400659998995,,81.18976529999054,81.20400659998995,81.20400659998995,81.63746090000495,1.6566666666666667,0.43249510001624003,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,180,0,12,1.2366666666666666,0.44772769999690354,,,,,,,,,,,,12,0,180,12,,,,,81.65351599999121,,81.6399831000017,81.65351599999121,81.65351599999121,82.10427380001056,1.2366666666666666,0.44772769999690354,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,181,1,12,1.0933333333333333,0.3974471999972593,,,,,,,,,,,,12,1,181,3,,,,,82.11985459999414,,82.10801930000889,82.11985459999414,82.11985459999414,82.52100149999023,1.0933333333333333,0.3974471999972593,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,182,2,12,1.42,0.3823227999964729,,,,,,,,,,,,12,2,182,2,,,,,82.53724539998802,,82.52374740000232,82.53724539998802,82.53724539998802,82.92103729999508,1.42,0.3823227999964729,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,183,3,12,1.8966666666666667,0.3982972000085283,,,,,,,,,,,,12,3,183,14,,,,,82.93689979999908,,82.92396569999983,82.93689979999908,82.93689979999908,83.33847350001452,1.8966666666666667,0.3982972000085283,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,184,4,12,1.0333333333333334,0.5132513000280596,,,,,,,,,,,,12,4,184,0,,,,,83.35319130000426,,83.34125850000419,83.35319130000426,83.35319130000426,83.87109210001654,1.0333333333333334,0.5132513000280596,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,185,5,12,1.8633333333333333,0.39990029999171384,,,,,,,,,,,,12,5,185,8,,,,,83.8865339999902,,83.87343460001284,83.8865339999902,83.8865339999902,84.28785230001085,1.8633333333333333,0.39990029999171384,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,186,6,12,2.18,0.46498419999261387,,,,,,,,,,,,12,6,186,9,,,,,84.30409590000636,,84.29112720000558,84.30409590000636,84.30409590000636,84.77109759999439,2.18,0.46498419999261387,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,187,7,12,1.5066666666666666,0.43267030001152307,,,,,,,,,,,,12,7,187,13,,,,,84.78648450001492,,84.77375570000731,84.78648450001492,84.78648450001492,85.22090720001142,1.5066666666666666,0.43267030001152307,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,188,8,12,1.0366666666666666,0.48173560001305304,,,,,,,,,,,,12,8,188,11,,,,,85.23659879999468,,85.2236450999917,85.23659879999468,85.23659879999468,85.7213960000081,1.0366666666666666,0.48173560001305304,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,189,9,12,1.7133333333333334,0.46610859999782406,,,,,,,,,,,,12,9,189,5,,,,,85.73640840000007,,85.7239191000117,85.73640840000007,85.73640840000007,86.2041379000002,1.7133333333333334,0.46610859999782406,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,190,10,12,1.9833333333333334,0.4488261000078637,,,,,,,,,,,,12,10,190,10,,,,,86.2205721999926,,86.20675149999443,86.2205721999926,86.2205721999926,86.6714837999898,1.9833333333333334,0.4488261000078637,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,191,11,12,1.1833333333333333,0.4806381000089459,,,,,,,,,,,,12,11,191,6,,,,,86.68631990000722,,86.67431450000731,86.68631990000722,86.68631990000722,87.17095749999862,1.1833333333333333,0.4806381000089459,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,192,12,12,1.0033333333333334,0.43114160001277924,,,,,,,,,,,,12,12,192,1,,,,,87.18633769999724,,87.17439699999522,87.18633769999724,87.18633769999724,87.62070130000939,1.0033333333333334,0.43114160001277924,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,193,13,12,2.2533333333333334,0.416485299996566,,,,,,,,,,,,12,13,193,7,,,,,87.63664050001535,,87.62343529998907,87.63664050001535,87.63664050001535,88.05405120001524,2.2533333333333334,0.416485299996566,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,194,14,12,1.5933333333333333,0.4974623000016436,,,,,,,,,,,,12,14,194,4,,,,,88.06972800000221,,88.05702460001339,88.06972800000221,88.06972800000221,88.57041750001372,1.5933333333333333,0.4974623000016436,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,195,0,13,1.2533333333333334,0.415510799997719,,,,,,,,,,,,13,0,195,2,,,,,88.58634119998896,,88.57326030000695,88.58634119998896,88.58634119998896,89.00436479999917,1.2533333333333334,0.415510799997719,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,196,1,13,2.0166666666666666,2.1159608000016306,,,,,,,,,,,,13,1,196,10,,,,,89.01960759999929,,89.00734879999072,89.01960759999929,89.01960759999929,91.13725279999198,2.0166666666666666,2.1159608000016306,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,197,2,13,2.0166666666666666,0.6475113999913447,,,,,,,,,,,,13,2,197,4,,,,,91.15291989999241,,91.14058430001023,91.15291989999241,91.15291989999241,91.80373200000031,2.0166666666666666,0.6475113999913447,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,198,3,13,2.0166666666666666,0.5990712000057101,,,,,,,,,,,,13,3,198,5,,,,,91.81966450001346,,91.80625890000374,91.81966450001346,91.81966450001346,92.42075530000147,2.0166666666666666,0.5990712000057101,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,199,4,13,1.8033333333333332,0.7972873000253458,,,,,,,,,,,,13,4,199,3,,,,,92.43608879999374,,92.42369110000436,92.43608879999374,92.43608879999374,93.23735179999494,1.8033333333333332,0.7972873000253458,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,200,5,13,1,0.7321547000028659,,,,,,,,,,,,13,5,200,8,,,,,93.25383599998895,,93.2399213000026,93.25383599998895,93.25383599998895,93.98746430000756,1,0.7321547000028659,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,201,6,13,1.7666666666666666,0.6487327999784611,,,,,,,,,,,,13,6,201,12,,,,,94.00264009999228,,93.98963960001129,94.00264009999228,94.00264009999228,94.65379400001257,1.7666666666666666,0.6487327999784611,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,202,7,13,1,0.5821216000185814,,,,,,,,,,,,13,7,202,14,,,,,94.66989849999663,,94.65607749999617,94.66989849999663,94.66989849999663,95.2536764999968,1,0.5821216000185814,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,203,8,13,1.4766666666666666,0.5329151999903843,,,,,,,,,,,,13,8,203,13,,,,,95.26946149999276,,95.2563683000044,95.26946149999276,95.26946149999276,95.80349099999876,1.4766666666666666,0.5329151999903843,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,204,9,13,1,0.4659717000031378,,,,,,,,,,,,13,9,204,11,,,,,95.81945760000963,,95.80563660000917,95.81945760000963,95.81945760000963,96.28679990000091,1,0.4659717000031378,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,205,10,13,1.8733333333333333,0.416177000006428,,,,,,,,,,,,13,10,205,6,,,,,96.30267070000991,,96.28879980000784,96.30267070000991,96.30267070000991,96.72027900000103,1.8733333333333333,0.416177000006428,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,206,11,13,1.1766666666666667,0.49894160000258125,,,,,,,,,,,,13,11,206,9,,,,,96.73610030001146,,96.72255979999318,96.73610030001146,96.73610030001146,97.2369589000009,1.1766666666666667,0.49894160000258125,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,207,12,13,1.1766666666666667,0.33309400000143796,,,,,,,,,,,,13,12,207,0,,,,,97.25250470000901,,97.23886230000062,97.25250470000901,97.25250470000901,97.58693739998853,1.1766666666666667,0.33309400000143796,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,208,13,13,1.1766666666666667,0.4476733999908902,,,,,,,,,,,,13,13,208,1,,,,,97.6026017999975,,97.59041569998953,97.6026017999975,97.6026017999975,98.05339250000543,1.1766666666666667,0.4476733999908902,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,209,14,13,1.9966666666666666,0.3655938000010792,,,,,,,,,,,,13,14,209,7,,,,,98.06914830001188,,98.05564060001052,98.06914830001188,98.06914830001188,98.43678310001269,1.9966666666666666,0.3655938000010792,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,210,0,14,1.3466666666666667,0.48410190001595765,,,,,,,,,,,,14,0,210,7,,,,,98.45248149998952,,98.43775610000012,98.45248149998952,98.45248149998952,98.9368303999945,1.3466666666666667,0.48410190001595765,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,211,1,14,1.1366666666666667,0.4308405999909155,,,,,,,,,,,,14,1,211,10,,,,,98.95264679999673,,98.94060339999851,98.95264679999673,98.95264679999673,99.38682260000496,1.1366666666666667,0.4308405999909155,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,212,2,14,1.9666666666666666,0.39959049999015406,,,,,,,,,,,,14,2,212,3,,,,,99.40256260000751,,99.39003879998927,99.40256260000751,99.40256260000751,99.80419650001568,1.9666666666666666,0.39959049999015406,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,213,3,14,1.42,0.4971040999807883,,,,,,,,,,,,14,3,213,2,,,,,99.81947250000667,,99.80772240000078,99.81947250000667,99.81947250000667,100.32092019999982,1.42,0.4971040999807883,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,214,4,14,1.2366666666666666,0.48099559999536723,,,,,,,,,,,,14,4,214,13,,,,,100.33578059999854,,100.3236223999993,100.33578059999854,100.33578059999854,100.82090799999423,1.2366666666666666,0.48099559999536723,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,215,5,14,2.1366666666666667,0.41399819997604936,,,,,,,,,,,,14,5,215,4,,,,,100.83637929998804,,100.82401609999943,100.83637929998804,100.83637929998804,101.25433150000754,2.1366666666666667,0.41399819997604936,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,216,6,14,1.2433333333333334,0.49525639999774285,,,,,,,,,,,,14,6,216,1,,,,,101.26895630001673,,101.25918870000169,101.26895630001673,101.26895630001673,101.77014700000291,1.2433333333333334,0.49525639999774285,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,217,7,14,2.013333333333333,0.49731410000822507,,,,,,,,,,,,14,7,217,8,,,,,101.78556560000288,,101.77349550000508,101.78556560000288,101.78556560000288,102.2873324000102,2.013333333333333,0.49731410000822507,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,218,8,14,1,0.9293816999997944,,,,,,,,,,,,14,8,218,14,,,,,102.30234709999058,,102.29081539998879,102.30234709999058,102.30234709999058,103.23744250001619,1,0.9293816999997944,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,219,9,14,1.8766666666666667,1.7971817000070587,,,,,,,,,,,,14,9,219,12,,,,,103.25243960000807,,103.24023709999165,103.25243960000807,103.25243960000807,105.05298700000276,1.8766666666666667,1.7971817000070587,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,220,10,14,1.1266666666666667,0.6996410000137985,,,,,,,,,,,,14,10,220,5,,,,,105.06927659999928,,105.05530780000845,105.06927659999928,105.06927659999928,105.77036990001216,1.1266666666666667,0.6996410000137985,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,221,11,14,2.12,0.5974840999988373,,,,,,,,,,,,14,11,221,6,,,,,105.78558580001118,,105.77293070001178,105.78558580001118,105.78558580001118,106.38647719999426,2.12,0.5974840999988373,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,222,12,14,1,0.5983907000045292,,,,,,,,,,,,14,12,222,0,,,,,106.40226090000942,,106.3895487000118,106.40226090000942,106.40226090000942,107.00313639998785,1,0.5983907000045292,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,223,13,14,2.02,1.0813508999999613,,,,,,,,,,,,14,13,223,11,,,,,107.01895420000073,,107.00547579998965,107.01895420000073,107.01895420000073,108.10313160001533,2.02,1.0813508999999613,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,224,14,14,1.0466666666666666,0.681610899977386,,,,,,,,,,,,14,14,224,9,,,,,108.11879529998987,,108.10562879999634,108.11879529998987,108.11879529998987,108.80291070000385,1.0466666666666666,0.681610899977386,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
,0,0,0,,,bo_t_e,Bottle,new,bottle,[np.float64(-0.043333333333333335)],[np.float64(-0.31583333333333335)],[1],[0],[0],[5.535787200002233],['submit_text'],,,,,0,0,0,18,108.82864479999989,,,,,,,,108.81841669999994,108.82864479999989,108.82864479999989,108.82864479999989,0.015499200002523139,114.35443529998884,bottle,[np.float64(-0.043333333333333335)],[np.float64(-0.31583333333333335)],[1],[0],[0],[5.535787200002233],['submit_text'],,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
