thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0038747000508010387,0.008226899895817041,0.008226899895817041,2.2749435999430716,space,2.21517249988392,None,,,,,,,,,,,,,,,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
0,0,0,[np.float64(0.4625)],[np.float64(-0.3258333333333333)],[1],[0],[0],[1.7671996999997646],['target'],0,0,0,0,2.296434100018814,,,,,,,,,5,2.2882411000318825,2.296434100018814,2.296434100018814,0.013302200008183718,4.04446869995445,[np.float64(0.4625)],[np.float64(-0.3258333333333333)],[1],[0],[0],[1.7671996999997646],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
1,0,1,[np.float64(0.18583333333333332)],[np.float64(0.36666666666666664)],[1],[0],[0],[1.499918800080195],['target'],1,0,1,0,4.066093999892473,,,,,,,,,5,4.057296300074086,4.066093999892473,4.066093999892473,0.012686800211668015,5.5448741998989135,[np.float64(0.18583333333333332)],[np.float64(0.36666666666666664)],[1],[0],[0],[1.499918800080195],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
2,0,2,[np.float64(-0.2425)],[np.float64(-0.01)],[1],[0],[0],[2.3641540000680834],['target'],2,0,2,0,5.575434800004587,,,,,,,,,10,5.56659509986639,5.575434800004587,5.575434800004587,0.021627199836075306,7.909430099884048,[np.float64(-0.2425)],[np.float64(-0.01)],[1],[0],[0],[2.3641540000680834],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
3,0,3,[np.float64(0.19)],[np.float64(0.38333333333333336)],[1],[0],[0],[1.3496183000970632],['target'],3,0,3,0,7.930068199988455,,,,,,,,,5,7.923129899892956,7.930068199988455,7.930068199988455,0.013589099980890751,9.259551800088957,[np.float64(0.19)],[np.float64(0.38333333333333336)],[1],[0],[0],[1.3496183000970632],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
4,0,4,[np.float64(-0.4483333333333333)],[np.float64(-0.4791666666666667)],[1],[0],[0],[2.2831826999317855],['target'],4,0,4,0,9.277035699924454,,,,,,,,,5,9.271134699927643,9.277035699924454,9.277035699924454,0.011484599905088544,11.543125000083819,[np.float64(-0.4483333333333333)],[np.float64(-0.4791666666666667)],[1],[0],[0],[2.2831826999317855],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
5,0,5,[np.float64(-0.37583333333333335)],[np.float64(0.075)],[1],[0],[0],[1.4154071998782456],['target'],5,0,5,0,11.575547500047833,,,,,,,,,10,11.565593299921602,11.575547500047833,11.575547500047833,0.02237850008532405,12.958945200080052,[np.float64(-0.37583333333333335)],[np.float64(0.075)],[1],[0],[0],[1.4154071998782456],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
6,0,6,[np.float64(0.20583333333333334)],[np.float64(-0.2683333333333333)],[1],[0],[0],[1.5509238000959158],['target'],6,0,6,0,12.979583099950105,,,,,,,,,5,12.972320500062779,12.979583099950105,12.979583099950105,0.013202100060880184,14.510570799931884,[np.float64(0.20583333333333334)],[np.float64(-0.2683333333333333)],[1],[0],[0],[1.5509238000959158],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
7,0,7,[np.float64(0.2916666666666667)],[np.float64(0.4675)],[1],[0],[0],[2.2482173000462353],['target'],7,0,7,0,14.542400599922985,,,,,,,,,10,14.534213099861518,14.542400599922985,14.542400599922985,0.02340489998459816,16.75956909987144,[np.float64(0.2916666666666667)],[np.float64(0.4675)],[1],[0],[0],[2.2482173000462353],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
8,0,8,[np.float64(-0.04666666666666667)],[np.float64(-0.11583333333333333)],[1],[0],[0],[1.350210500182584],['target'],8,0,8,0,16.77692039986141,,,,,,,,,5,16.77058760006912,16.77692039986141,16.77692039986141,0.010903600137680769,18.110233699902892,[np.float64(-0.04666666666666667)],[np.float64(-0.11583333333333333)],[1],[0],[0],[1.350210500182584],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
9,0,9,[np.float64(-0.1075)],[np.float64(-0.37)],[1],[0],[0],[1.2647947000805289],['target'],9,0,9,0,18.14580320008099,,,,,,,,,10,18.134906699880958,18.14580320008099,18.14580320008099,0.024555800016969442,19.375523699913174,[np.float64(-0.1075)],[np.float64(-0.37)],[1],[0],[0],[1.2647947000805289],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
10,0,10,[np.float64(-0.4675)],[np.float64(0.045)],[1],[0],[0],[1.183944300049916],['target'],10,0,10,0,19.395635599968955,,,,,,,,,5,19.38856630004011,19.395635599968955,19.395635599968955,0.012930799974128604,20.559914499986917,[np.float64(-0.4675)],[np.float64(0.045)],[1],[0],[0],[1.183944300049916],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
11,0,11,[np.float64(0.056666666666666664)],[np.float64(0.295)],[1],[0],[0],[1.4808968000579625],['target'],11,0,11,0,20.58014169987291,,,,,,,,,5,20.572312999982387,20.58014169987291,20.58014169987291,0.012256599962711334,22.041348800063133,[np.float64(0.056666666666666664)],[np.float64(0.295)],[1],[0],[0],[1.4808968000579625],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
12,0,12,[np.float64(0.11916666666666667)],[np.float64(0.14333333333333334)],[1],[0],[0],[1.251430599950254],['target'],12,0,12,0,22.086077800020576,,,,,,,,,10,22.073228700086474,22.086077800020576,22.086077800020576,0.03175200009718537,23.293308299966156,[np.float64(0.11916666666666667)],[np.float64(0.14333333333333334)],[1],[0],[0],[1.251430599950254],['target'],,,,,4,001,2025-10-02_20h03.02.615,visual search,,2025.1.1,59.95049291077371,2025-10-02 20h03.12.794581 +0530,
